ID,NAME,us_city,us_state_code,SOURCE
60,No PORT Code (60),,,Udacity
888,UNIDENTIFED AIR / SEAPORT,,,Udacity
.GA,No PORT Code (.GA),,,Udacity
48Y,"PINECREEK BORDER ARPT, MN",PINECREEK,MN,Udacity
5KE,"KETCHIKAN, AK",KETCHIKAN,AK,Udacity
5T6,No PORT Code (5T6),,,Udacity
74S,No PORT Code (74S),,,Udacity
A2A,No PORT Code (A2A),,,Udacity
ABE,"Aberdeen, WA",Aberdeen,WA,State Department
ABG,"Alburg, VT",Alburg,VT,State Department
ABQ,"Albuquerque, NM",Albuquerque,NM,State Department
ABS,"Alburg Springs, VT",Alburg Springs,VT,State Department
ACY,"POMONA FIELD - ATLANTIC CITY, NJ",ATLANTIC CITY,NJ,Udacity
ADS,"ADDISON AIRPORT- ADDISON, TX",ADDISON,TX,Udacity
ADT,"Amistad Dam, TX",Amistad Dam,TX,State Department
ADU,No PORT Code (ADU),,,Udacity
ADW,"ANDREWS AFB, MD",ANDREWS AFB,MD,Udacity
AFW,"FORT WORTH ALLIANCE, TX",FORT WORTH,TX,Udacity
AG,No PORT Code (AG),,,Udacity
AG0,"MAGNOLIA, AR",MAGNOLIA,AR,Udacity
AGA,"Agana, Guam",,,State Department
AGM,"Algoma, WI",Algoma,WI,State Department
AGN,"Algonac, MI",Algonac,MI,State Department
AGS,"BUSH FIELD - AUGUSTA, GA",AUGUSTA,GA,Udacity
AGU,"Mayaguez, PR",Mayaguez,PR,State Department
AKR,"Akron, OH",Akron,OH,State Department
AKT,No PORT Code (AKT),,,Udacity
ALA,"ALAMAGORDO, NM (BPS)",ALAMAGORDO,NM,Udacity
ALB,"Albany, NY",Albany,NY,State Department
ALC,"Alcan, AK",Alcan,AK,State Department
ALP,"Alpena, MI",Alpena,MI,State Department
AMB,"Ambrose, ND",Ambrose,ND,State Department
AMS,"AMSTERDAM-SCHIPHOL, NETHERLANDS",,,Udacity
AMT,No PORT Code (AMT),,,Udacity
ANA,"Anacortes, WA",Anacortes,WA,State Department
ANC,"Anchorage, AK",Anchorage,AK,State Department
AND,"Andrade, CA",Andrade,CA,State Department
ANP,"Antelope Wells, NM",Antelope Wells,NM,State Department
ANT,"Antler, ND",Antler,ND,State Department
ANZ,"Anzaldaus, TX",Anzaldaus,TX,State Department
APA,"ARAPAHOE COUNTY, CO",Centennial,CO,Udacity
APF,"NAPLES, FL #ARPT",NAPLES,FL,Udacity
ARB,"ARUBA, NETH ANTILLES",,,Udacity
ARU,Aruba,,,State Department
ASE,"ASPEN, CO #ARPT",ASPEN,CO,Udacity
ASI,No PORT Code (ASI),,,Udacity
AST,"Astoria, OR",Astoria,OR,State Department
ATB,"Ashtabula, OH",Ashtabula,OH,State Department
ATL,"Atlanta, GA",Atlanta,GA,State Department
ATW,"Appleton, WI",Appleton,WI,State Department
AUH,No PORT Code (AUH),,,Udacity
AUS,"Austin, TX",Austin,TX,State Department
AXB,"Alexandria Bay, NY",Alexandria Bay,NY,State Department
BAL,"Baltimore, MD",Baltimore,MD,State Department
BAN,"BANKOK, THAILAND",,,Udacity
BAR,"BAKER AAF - BAKER ISLAND, AK",BAKER ISLAND,AK,Udacity
BAU,"Baudette, MN",Baudette,MN,State Department
BAY,"Bayfield, WI",Bayfield,WI,State Department
BBM,"Brownsville, B&M Bridge",Brownsville,TX,State Department
BBP,"BIG BEND PARK, TX (BPS)",Presidio,TX,Udacity
BCK,"Bucksport, ME",Bucksport,ME,State Department
BCM,"Battle Creek and Kalamazoo County Airport, MI",Portage,MI,State Department
BCY,"Bay City, MI",Bay City,MI,State Department
BDA,"KINDLEY FIELD, BERMUDA",,,Udacity
BDL,"BRADLEY INTERNATIONAL, CT",Windsor Locks,CT,Udacity
BEA,"Beaumont, TX",Beaumont,TX,State Department
BEB,"Beebe Plain, VT",Beebe Plain,VT,State Department
BED,"HANSCOM FIELD - BEDFORD, MA",BEDFORD,MA,Udacity
BEE,"Beecher Falls, VT",Beecher Falls,VT,State Department
BEI,"BEICA #ARPT, ETHIOPIA",,,Udacity
BEL,"Bellingham, WA",Bellingham,WA,State Department
BFL,"MEADOWS FIELD - BAKERSFIELD, CA",BAKERSFIELD,CA,Udacity
BGC,"Bridgeport, CT",Bridgeport,CT,State Department
BGM,"Bangor, ME",Bangor,ME,State Department
BHM,"Bar Harbor, ME ÊÊ Ferry Terminal",Bar Harbor,ME,State Department
BHX,"BIRMINGHAM, AL",BIRMINGHAM,AL,Udacity
BIL,"Billings, MT",Billings,MT,State Department
BKF,No PORT Code (BKF),,,Udacity
BLA,"Blaine, WA",Blaine,WA,State Department
BLF,"MERCER COUNTY, WV",Bluefield,WV,Udacity
BLI,"BELLINGHAM, WASHINGTON #INTL",BELLINGHAM,WA,Udacity
BLT,"PACIFIC, HWY. STATION, CA",San Diego,CA,Udacity
BOA,"El Paso, TX Bridge of Americas",El Paso,TX,State Department
BOC,"Boca Grande, FL",Boca Grande,FL,State Department
BOG,"BOGOTA, EL DORADO #ARPT, COLOMBIA",,,Udacity
BOI,"AIR TERM. (GOWEN FLD) BOISE, ID",BOISE,ID,Udacity
BOO,"Boothbay Harbor, ME",Boothbay Harbor,ME,State Department
BOS,"Boston, MA",Boston,MA,State Department
BQN,"BORINQUEN - AGUADILLO, PR",AGUADILLO,PR,Udacity
BRG,"Burlington, VT",Burlington,VT,State Department
BRO,"Brownsville, TX",Brownsville,TX,State Department
BRU,"Brunswick, GA",Brunswick,GA,State Department
BTC,"BP TACTICAL UNIT, TX",El Paso,TX,Udacity
BTM,"Butte, MT",Butte,MT,State Department
BTN,"Baton Rouge, LA",Baton Rouge,LA,State Department
BUF,"Buffalo, NY",Buffalo,NY,State Department
BUR,"BURBANK, CA",BURBANK,CA,Udacity
BUS,Collapsed (BUF) 06/15,Buffalo,NY,Udacity
BWA,"Boundary, WA",Boundary,WA,State Department
BWM,"Bridgewater, ME",Bridgewater,ME,State Department
BYO,"BAYONNE, NJ",BAYONNE,NJ,Udacity
BZN,"GALLATIN FIELD - BOZEMAN, MT",BOZEMAN,MT,Udacity
CAE,"COLUMBIA, SC #ARPT",COLUMBIA,SC,Udacity
CAK,"AKRON, OH",AKRON,OH,Udacity
CAL,"Calexico, CA",Calexico,CA,State Department
CAN,"Cape Canaveral, FL",Cape Canaveral,FL,State Department
CAO,"CAMPO, CA",CAMPO,CA,Udacity
CAP,"Cape Vincent, NY",Cape Vincent,NY,State Department
CAR,"CARIBOU MUNICIPAL AIRPORT, MN",Caribou,MN,Udacity
CBH,"Churubusco, IN",Churubusco,IN,State Department
CDD,"CRANE LAKE - ST. LOUIS CNTY, NM",Crane Lake,NM,Udacity
CHA,"Charlotte Amalie, St. Thomas, VI",Charlotte Amalie,VI,State Department
CHF,"Chief Mountain, MT",Chief Mountain,MT,State Department
CHI,"Chicago, IL",Chicago,IL,State Department
CHL,"Charleston, SC",Charleston,SC,State Department
CHM,"Champlain, NY",Champlain,NY,State Department
CHN,No PORT Code (CHN),,,Udacity
CHO,"ALBEMARLE CHARLOTTESVILLE, VA",Charlottesville,VA,Udacity
CHR,"Christiansted, St. Croix, VI",Christiansted,VI,State Department
CHS,"CHARLESTON, WV",CHARLESTON,WV,Udacity
CHT,"Chateaugay, NY",Chateaugay,NY,State Department
CID,"CEDAR RAPIDS/IOWA CITY, IA",Cedar Rapids,IA,Udacity
CIN,"Cincinnati, OH",Cincinnati,OH,State Department
CLA,"Clayton, NY",Clayton,NY,State Department
CLE,"Cleveland, OH",Cleveland,OH,State Department
CLG,"Calgary, Alberta Canada",,,State Department
CLK,"CLARKSBURG, WV",CLARKSBURG,WV,Udacity
CLM,"COLUMBUS, OH",COLUMBUS,OH,Udacity
CLS,"Calais, ME",Calais,ME,State Department
CLT,"Charlotte, NC",Charlotte,NC,State Department
CLX,No PORT Code (CLX),,,Udacity
CNA,"Canaan, VT",Canaan,VT,State Department
CNC,"Cannon Corners, NY",Cannon Corners,NY,State Department
CND,"KOGALNICEANU, ROMANIA",,,Udacity
CNH,"CANNON CORNERS, NY",CANNON CORNERS,NY,Udacity
CNJ,"Camden, NJ",Camden,NJ,State Department
COB,"Coburn Gore, ME",Coburn Gore,ME,State Department
COL,"Columbus, NM",Columbus,NM,State Department
COO,"Coos Bay, OR",Coos Bay,OR,State Department
COR,"Corpus Christi, TX",Corpus Christi,TX,State Department
COS,"COLORADO SPRINGS, CO",COLORADO SPRINGS,CO,Udacity
COW,"HQ, Washington DC",Washington,DC,State Department
CP,No PORT Code (CP),,,Udacity
CPX,No PORT Code (CPX),,,Udacity
CRA,"Crane Lake, MN",Crane Lake,MN,State Department
CRB,"Caribou, ME",Caribou,ME,State Department
CRL,"CARLSBAD, NM",CARLSBAD,NM,Udacity
CRP,"CORPUS CHRISTI, TX",CORPUS CHRISTI,TX,Udacity
CRQ,"CARAVELAS, BA #ARPT, BRAZIL",,,Udacity
CRU,"Cruz Bay, St. John, VI",Cruz Bay,VI,State Department
CRY,"Carbury, ND",Carbury,ND,State Department
CSP,"Casper, WY",Casper,WY,State Department
CTB,"CUT BANK MUNICIPAL, MT",Cut Bank,MT,Udacity
CUN,"CANCUN, MEXICO",,,Udacity
CUR,"CURLEW, WA (BPS)",CURLEW,WA,Udacity
CUT,"Cut Bank, MT",Cut Bank,MT,State Department
CXO,No PORT Code (CXO),,,Udacity
DAA,"DAVISON AAF - FAIRFAX CNTY, VA",Fort Belvoir,VA,Udacity
DAB,"DAYTONA BEACH INTERNATIONAL, FL",DAYTONA BEACH,FL,Udacity
DAC,"Dalton Cache, AK",Dalton Cache,AK,State Department
DAL,"Dallas, TX",Dallas,TX,State Department
DAY,No PORT Code (DAY),,,Udacity
DBL,"Dublin, Ireland",,,State Department
DCA,"Detroit, MI",Detroit,MI,State Department
DCB,"Detroit, Ambassador Bridge",Detroit,MI,State Department
DCT,"Detroit, Windsor Tunnel",Detroit,MI,State Department
DEC,No PORT Code (DEC),,,Udacity
DEN,"Denver, CO",Denver,CO,State Department
DER,"Del Rio, TX",Del Rio,TX,State Department
DET,"Detroit, MI",Detroit,MI,State Department
DIB,"Detroit, MI",Detroit,MI,State Department
DLB,"Del Bonita, MT",Del Bonita,MT,State Department
DLR,"Del Rio, TX",Del Rio,TX,State Department
DLV,"DERBY LINE, VT (RT. 5)",DERBY LINE,VT,Udacity
DMA,"Detroit, MI",Detroit,MI,State Department
